,word,count,log_count,probability,first,second,third,fourth,fifth,log_likelihood
69,shall,191963867,19.07281771957325,4.2838698149390505e-05,s,h,a,l,l,38.75800382923061
70,class,191087771,19.06824341448889,4.2828423984469865e-05,c,l,a,s,s,39.45149801801544
71,still,190433487,19.064813541957815,4.2820720284040806e-05,s,t,i,l,l,38.2059637212337
72,money,190205072,19.06361337438668,4.281802463533989e-05,m,o,n,e,y,40.79418396329558
73,every,189325890,19.058980373864244,4.280761863692767e-05,e,v,e,r,y,36.21169186831128
74,visit,187062316,19.046952359948243,4.278060299272343e-05,v,i,s,i,t,38.55662612790004
75,tools,185555874,19.038866602205047,4.276244189348981e-05,t,o,o,l,s,40.43517734240546
76,reply,184777992,19.03466561917088,4.275300623239466e-05,r,e,p,l,y,38.35055723009261
77,value,182061247,19.01985371040827,4.271973779257486e-05,v,a,l,u,e,39.208051470666994
78,press,179652730,19.006536267623204,4.268982601341463e-05,p,r,e,s,s,39.37669641175255
79,learn,179428286,19.00528616517151,4.268701820796231e-05,l,e,a,r,n,39.78544054368039
80,print,178250872,18.998702509252325,4.267223091995966e-05,p,r,i,n,t,38.91188024421228
81,stock,176295589,18.987672627202574,4.2647457140086134e-05,s,t,o,c,k,37.108883531628976
82,point,175527859,18.983308329012957,4.263765466330856e-05,p,o,i,n,t,39.7281176784379
83,sales,173244220,18.970212833284393,4.260824139061436e-05,s,a,l,e,s,42.15580569877018
84,large,165863763,18.926677304538963,4.2510457969091616e-05,l,a,r,g,e,40.029262966383094
85,table,165341452,18.9235232996542,4.2503373884023184e-05,t,a,b,l,e,39.69159674005594
86,start,161913408,18.90257223177219,4.245631652280363e-05,s,t,a,r,t,38.41414345365527
87,model,161205740,18.8981919953433,4.244647824778002e-05,m,o,d,e,l,39.92377974165009
88,human,160573748,18.89426388409813,4.2437655473169415e-05,h,u,m,a,n,39.110897714443325
89,movie,158421100,18.88076723554403,4.24073411870509e-05,m,o,v,i,e,39.6564989995208
90,march,158281269,18.87988419188681,4.240535781777423e-05,m,a,r,c,h,39.26398782679949
91,yahoo,155733641,18.863657676407545,4.2368912086008064e-05,y,a,h,o,o,37.342625353392904
92,going,155284081,18.860766778035575,4.2362418954025245e-05,g,o,i,n,g,38.61959592184671
93,study,152978354,18.845806992223693,4.232881837343997e-05,s,t,u,d,y,37.32216889592576
94,staff,151553180,18.83644714442181,4.230779559114297e-05,s,t,a,f,f,35.21878742397067
95,again,150781416,18.83134176986967,4.2296328612189234e-05,a,g,a,i,n,38.245159297727696
96,april,149976767,18.825990953397685,4.2284310355890324e-05,a,p,r,i,l,38.441204851006496
97,never,149556758,18.823186530919276,4.22780114539765e-05,n,e,v,e,r,38.85113078083886
98,users,149320234,18.821603779113634,4.227445649802588e-05,u,s,e,r,s,37.455056718222224
99,topic,149001702,18.819468286663284,4.226966005327262e-05,t,o,p,i,c,38.256034273010115
100,below,145701629,18.797071451610826,4.221935541184938e-05,b,e,l,o,w,37.360354925963065
101,party,144707500,18.790225021633773,4.220397791747492e-05,p,a,r,t,y,40.34395196860631
102,login,144200144,18.78671278142766,4.219608921428329e-05,l,o,g,i,n,39.44648652101228
103,legal,142048771,18.771681014343905,4.216232695942295e-05,l,e,g,a,l,39.02758920873941
104,above,141894620,18.770595227387556,4.215988821647676e-05,a,b,o,v,e,36.344712197994
105,quote,139242226,18.75172560756513,4.211750591305145e-05,q,u,o,t,e,37.28056134791085
106,story,138433809,18.74590285599728,4.210442766208289e-05,s,t,o,r,y,38.2743388420479
107,rates,137089538,18.73614483235753,4.2082510552855304e-05,r,a,t,e,s,41.269985080410194
108,young,136341684,18.73067467529689,4.207022425040141e-05,y,o,u,n,g,36.41554223671684
109,field,135289140,18.722924823844135,4.205281761694177e-05,f,i,e,l,d,38.39005010845287
110,paper,134939426,18.720336539412102,4.204700417410711e-05,p,a,p,e,r,39.87257021417172
111,girls,132325396,18.700774568335625,4.200306680803601e-05,g,i,r,l,s,40.30798773407269
112,night,130531484,18.687125012334285,4.1972409082574995e-05,n,i,g,h,t,37.26926447875996
113,texas,129399241,18.67841307448064,4.195284154507237e-05,t,e,x,a,s,38.826275061820326
114,poker,129054826,18.67574787978767,4.194685535715614e-05,p,o,k,e,r,39.263743796997666
115,issue,128427156,18.670872422185255,4.193590478552897e-05,i,s,s,u,e,37.27230674948555
116,range,128314924,18.669998143943456,4.193394110390365e-05,r,a,n,g,e,39.919274727876484
117,court,127719981,18.665350777047927,4.1923502837751565e-05,c,o,u,r,t,39.05709245782043
118,audio,127014703,18.65981340937539,4.191106557621246e-05,a,u,d,i,o,39.27018138112849
119,light,126699632,18.657329740788335,4.1905487106871e-05,l,i,g,h,t,37.32383947535057
120,write,126645151,18.656899647062346,4.1904521090439946e-05,w,r,i,t,e,38.98540339179763
121,offer,126228968,18.65360802214306,4.189712790247939e-05,o,f,f,e,r,35.428024876782274
122,given,125542966,18.64815861651053,4.188488820898375e-05,g,i,v,e,n,39.157441128228285
123,files,125524478,18.64801134134224,4.188455742007925e-05,f,i,l,e,s,40.69651654418237
124,event,125515260,18.647937902769705,4.1884392472619075e-05,e,v,e,n,t,36.24326276590789
125,china,124472054,18.63959178280935,4.186564658415324e-05,c,h,i,n,a,39.23543560646199
126,needs,123595776,18.632526927646612,4.184977849364687e-05,n,e,e,d,s,39.66876724870823
127,might,123196001,18.62928714912129,4.1842501755812026e-05,m,i,g,h,t,37.65769754497369
128,month,123027963,18.627922228961953,4.183943606286809e-05,m,o,n,t,h,39.272213927023756
129,major,122592252,18.62437438207946,4.183146738493523e-05,m,a,j,o,r,37.80352053894614
130,areas,121986327,18.619419522646304,4.182033847201054e-05,a,r,e,a,s,40.467533543535296
131,space,121505269,18.615468186059733,4.181146353188331e-05,s,p,a,c,e,38.67587333635608
132,cards,121094522,18.61208197215748,4.180385789136597e-05,c,a,r,d,s,40.81481035413703
133,child,119747393,18.600895023663416,4.177873133079185e-05,c,h,i,l,d,37.98088120654445
134,enter,119394206,18.597941231782205,4.177209693619658e-05,e,n,t,e,r,38.28372037704478
135,share,119294241,18.597103612642265,4.177021559312354e-05,s,h,a,r,e,39.62575779797149
136,added,118410414,18.589667232627352,4.175351303540675e-05,a,d,d,e,d,37.44904481486829
137,radio,113285624,18.545422833569972,4.165413744843854e-05,r,a,d,i,o,39.75267170208025
138,until,113090086,18.543695280303496,4.165025725967946e-05,u,n,t,i,l,36.8098695862061
139,color,112965658,18.54259441898173,4.164778465879998e-05,c,o,l,o,r,39.878178362137156
140,track,112385243,18.537443196768987,4.163621470323722e-05,t,r,a,c,k,37.836951234221615
141,least,111229798,18.527108871509743,4.161300318583756e-05,l,e,a,s,t,39.15788856087096
142,trade,110086585,18.51677775049097,4.1589798865355124e-05,t,r,a,d,e,39.34686219712213
143,david,109067044,18.507473333676472,4.156890058439671e-05,d,a,v,i,d,38.581006846668956
144,green,108287905,18.500304025217403,4.1552797885491196e-05,g,r,e,e,n,39.83457739658077
145,close,107853068,18.496280377311848,4.1543760529783205e-05,c,l,o,s,e,39.06505363015468
146,drive,107799371,18.495782381542742,4.154264200127074e-05,d,r,i,v,e,37.78712388446901
147,short,106755242,18.486049314253794,4.152078094551121e-05,s,h,o,r,t,38.607593331903374
148,means,105946662,18.478446336755187,4.1503704199804926e-05,m,e,a,n,s,40.808055594750385
149,daily,105837757,18.47741788518058,4.1501394235581824e-05,d,a,i,l,y,39.843123224024964
150,beach,105642682,18.475573033181497,4.149725058679951e-05,b,e,a,c,h,38.73456402303255
151,costs,101090970,18.431531362494237,4.1398330339969374e-05,c,o,s,t,s,40.51333315327552
152,style,101024266,18.430871303374083,4.1396847807402625e-05,s,t,y,l,e,37.500605721438134
153,front,100886343,18.429505124329452,4.139377928692644e-05,f,r,o,n,t,38.4193498826003
154,parts,100637505,18.42703555927364,4.1388232494966195e-05,p,a,r,t,s,41.21781181556021
155,early,100013194,18.42081267524905,4.137425552238314e-05,e,a,r,l,y,39.74143592380084
156,miles,100012522,18.420805956112996,4.137424043079859e-05,m,i,l,e,s,41.21899811067673
157,sound,100010833,18.420789068085096,4.137420249927005e-05,s,o,u,n,d,39.16805786239462
158,works,98581698,18.40639618368233,4.134187521341777e-05,w,o,r,k,s,39.39897689658254
159,rules,97658641,18.396988700875326,4.132074544002822e-05,r,u,l,e,s,40.57108965245594
160,final,97649084,18.39689083480262,4.1320525626930366e-05,f,i,n,a,l,39.515538747484484
161,adult,97583096,18.396214839661724,4.1319007301100536e-05,a,d,u,l,t,36.85208404803195
162,thing,97451660,18.394867018149363,4.131598001274827e-05,t,h,i,n,g,37.355716750450966
163,cheap,97049762,18.390734415232135,4.1306697937517154e-05,c,h,e,a,p,37.63238493024634
164,third,95489240,18.37452412894613,4.127028865749721e-05,t,h,i,r,d,37.883317937379985
165,gifts,95412416,18.373719274700687,4.1268480906352005e-05,g,i,f,t,s,38.57732758975716
166,cover,94501729,18.364128688592892,4.124693987191293e-05,c,o,v,e,r,39.370668116690574
167,often,92551460,18.343275372115972,4.120010206624084e-05,o,f,t,e,n,37.171568709526106
168,watch,92006970,18.33737489301317,4.118684923454402e-05,w,a,t,c,h,37.87297866295971
169,deals,91189968,18.328455448994116,4.116681562568713e-05,d,e,a,l,s,40.43069368618352
170,words,90910143,18.325382137081075,4.1159912781896695e-05,w,o,r,d,s,39.64539637165857
171,linux,90854231,18.324766922993373,4.115853097397571e-05,l,i,n,u,x,37.319656150618414
172,james,90535679,18.32125457407069,4.115064202660011e-05,j,a,m,e,s,40.3045506271856
173,heart,90249265,18.31808601109978,4.114352524319276e-05,h,e,a,r,t,39.314899820290776
174,error,89396475,18.308591809836177,4.112220069492301e-05,e,r,r,o,r,38.804459377212304
175,clear,88447610,18.297920957289225,4.1098233316952095e-05,c,l,e,a,r,39.10196420586116
176,makes,87829598,18.29090910885903,4.108248428276182e-05,m,a,k,e,s,40.581878040970224
177,india,87391857,18.285912666948846,4.1071261973087477e-05,i,n,d,i,a,37.96855886167337
178,taken,87019836,18.281646650630808,4.106168024331709e-05,t,a,k,e,n,39.877033338655096
179,known,86395556,18.274446797266265,4.1045508938712894e-05,k,n,o,w,n,36.01071610746939
180,cases,86255673,18.272826385625777,4.1041869396503386e-05,c,a,s,e,s,41.55937475102627
181,quick,85584600,18.26501591838479,4.1024326616329955e-05,q,u,i,c,k,35.337697718704774
182,whole,85202530,18.26054168619434,4.101427722116061e-05,w,h,o,l,e,38.15075966587279
183,later,84857974,18.256489522836432,4.1005175818027954e-05,l,a,t,e,r,40.336801888018876
184,basic,84840226,18.256280351495022,4.100470600658803e-05,b,a,s,i,c,39.29568418364318
185,shows,84804638,18.25586079266273,4.100376365216318e-05,s,h,o,w,s,37.47397600594177
186,along,83444756,18.239695366073633,4.0967455129726254e-05,a,l,o,n,g,37.78682438519421
187,among,83431590,18.2395375725895,4.096710071605042e-05,a,m,o,n,g,36.830865162257126
188,death,83216831,18.236960181005504,4.0961311739208974e-05,d,e,a,t,h,38.97937704202299
189,speed,83135749,18.235985359858507,4.0959122232158686e-05,s,p,e,e,d,38.457258486916714
190,brand,82807581,18.23203017313533,4.095023864439258e-05,b,r,a,n,d,38.781608223370625
191,stuff,81444510,18.215432487425705,4.0912959241917964e-05,s,t,u,f,f,34.40957728446007
192,japan,81110725,18.211325754485188,4.090373527221377e-05,j,a,p,a,n,38.94057647591279
193,doing,80821946,18.207759095523194,4.089572434121652e-05,d,o,i,n,g,38.632526021824106
194,loans,80821333,18.207751510920804,4.089570730574241e-05,l,o,a,n,s,40.60530179476525
195,shoes,80755612,18.206938016104147,4.089388014735348e-05,s,h,o,e,s,40.47587106862207
196,entry,80717798,18.206469654152897,4.0892828178182006e-05,e,n,t,r,y,37.40863595265154
197,notes,79958318,18.197016031857466,4.087159477272054e-05,n,o,t,e,s,40.90144947045493
198,force,79199815,18.18748452092334,4.0850186424682085e-05,f,o,r,c,e,39.928368030780135
199,river,78843808,18.18297933943752,4.084006751552996e-05,r,i,v,e,r,38.75247821058967
200,album,77914316,18.17112026802591,4.081343132637304e-05,a,l,b,u,m,36.40477143119656
201,views,77333335,18.1636356625142,4.079662045128381e-05,v,i,e,w,s,37.16939644023165
202,plans,77295630,18.163147978971242,4.079552508465281e-05,p,l,a,n,s,39.69183715320929
203,build,77203075,18.161949845807964,4.079283400535456e-05,b,u,i,l,d,38.66789202359037
204,types,77070740,18.16023425936891,4.078898069481112e-05,t,y,p,e,s,38.600934756209064
205,lines,76806341,18.156797759813756,4.0781262109686563e-05,l,i,n,e,s,41.02615076282929
206,apply,76341478,18.15072696584846,4.076762674054341e-05,a,p,p,l,y,36.88888061539445
207,asked,75532722,18.14007652430039,4.074370520690618e-05,a,s,k,e,d,37.49280872066705
208,cross,74230978,18.122692114273,4.070465877419665e-05,c,r,o,s,s,39.54066870125297
209,weeks,73571749,18.11377166490302,4.068462290726098e-05,w,e,e,k,s,38.93162432941285
210,lower,72606927,18.100570888466613,4.065497316775152e-05,l,o,w,e,r,38.58610615348044
211,union,72603888,18.100529032080082,4.065487915578462e-05,u,n,i,o,n,37.26424205526658
212,names,71918906,18.091049736666005,4.063358808695131e-05,n,a,m,e,s,40.97739860327462
213,leave,70957750,18.07759518745838,4.060336835850237e-05,l,e,a,v,e,38.50174047548457
214,teens,70859771,18.076213425671853,4.0600264838248694e-05,t,e,e,n,s,40.40759027352604
215,woman,70613606,18.072733403442186,4.0592448498573993e-05,w,o,m,a,n,39.297828219126515
216,cable,70082598,18.06518507582307,4.057549449979089e-05,c,a,b,l,e,39.822968619774215
217,score,69315004,18.05417194866218,4.055075835240759e-05,s,c,o,r,e,38.94657193275481
218,shown,68755779,18.046071349160083,4.0532563917688944e-05,s,h,o,w,n,36.900503183344924
219,flash,68391647,18.040761255252498,4.052063712672409e-05,f,l,a,s,h,37.28897069400075
220,ideas,67309657,18.024814276148625,4.0484819250505184e-05,i,d,e,a,s,38.09384344406828
221,allow,67052567,18.02098745182116,4.0476223972416477e-05,a,l,l,o,w,36.546841141838854
222,homes,66753480,18.01651698871712,4.046618304284237e-05,h,o,m,e,s,40.65527569004071
223,super,66703287,18.015764790031437,4.046449355925803e-05,s,u,p,e,r,39.393436093518496
224,asian,66078353,18.00635176253224,4.044335133215563e-05,a,s,i,a,n,39.20251366175471
225,cause,65904680,18.00372001364313,4.043744026553069e-05,c,a,u,s,e,39.89854482587418
226,focus,65626732,17.99949367090874,4.0427947645020375e-05,f,o,c,u,s,38.94206374384478
227,rooms,65453403,17.99684904285701,4.0422007651019955e-05,r,o,o,m,s,39.67647621846298
228,voice,64600528,17.983733142094042,4.039254854738863e-05,v,o,i,c,e,39.26246197252618
229,comes,64256803,17.978398159402847,4.038056585471571e-05,c,o,m,e,s,41.075574197442975
230,brown,64112042,17.976142766961416,4.037550010735591e-05,b,r,o,w,n,37.07854993562822
231,forms,63561604,17.96752013531185,4.035613315697028e-05,f,o,r,m,s,39.754822309158904
232,glass,63559754,17.967491029266583,4.0356067783038335e-05,g,l,a,s,s,39.21029877887503
233,happy,63471922,17.966108192847166,4.035296184909442e-05,h,a,p,p,y,37.79886684999717
234,smith,63357901,17.964310176765128,4.034892339660467e-05,s,m,i,t,h,37.457308018925985
235,thank,63234550,17.962361386958722,4.0344546297242596e-05,t,h,a,n,k,37.67202074576891
236,prior,62949059,17.95783636997118,4.033438283635809e-05,p,r,i,o,r,39.0160190957443
237,sport,62683851,17.95361441262031,4.032490006568348e-05,s,p,o,r,t,37.93496331957748
238,ready,62667516,17.953353785225758,4.032431468084685e-05,r,e,a,d,y,39.142278981170286
239,round,61836702,17.94000762964405,4.02943384110148e-05,r,o,u,n,d,38.51938779583977
240,built,61502894,17.934594788580174,4.028218084374417e-05,b,u,i,l,t,39.01072591611723
241,blood,61348302,17.93207805147656,4.027652810052142e-05,b,l,o,o,d,38.30144758880827
242,earth,61059905,17.927365989423087,4.026594452514531e-05,e,a,r,t,h,39.163979126594214
243,nokia,61035236,17.92696189471246,4.026503690406976e-05,n,o,k,i,a,39.247519479248794
244,italy,60280461,17.914518579337653,4.0237088467758124e-05,i,t,a,l,y,37.39360669265346
245,basis,59901425,17.908210852452125,4.022292093299578e-05,b,a,s,i,s,41.057744891726486
246,award,59652161,17.904040933848627,4.021355504448422e-05,a,w,a,r,d,37.03610193510903
247,peter,59541743,17.90218818756077,4.020939366465352e-05,p,e,t,e,r,40.13090149510349
248,extra,59377307,17.899422674301096,4.0203182155190096e-05,e,x,t,r,a,36.27127134298257
249,pussy,59206591,17.896543428116473,4.019671519472236e-05,p,u,s,s,y,38.476915877747494
250,rated,59102029,17.894775813428296,4.019274502559556e-05,r,a,t,e,d,39.96957807967602
251,quite,58777731,17.88927361664483,4.0180386759993116e-05,q,u,i,t,e,37.36900686388362
252,horse,58453720,17.88374588799744,4.016797114828545e-05,h,o,r,s,e,40.06435384196277
253,stars,58352743,17.88201692501781,4.0164087793225655e-05,s,t,a,r,s,39.371716561862584
254,lists,58249254,17.88024184346112,4.016010085306214e-05,l,i,s,t,s,39.87144010585533
255,owner,58189056,17.87920785378258,4.015777844992383e-05,o,w,n,e,r,37.3308778467824
256,takes,57784233,17.872226510962754,4.014209793317306e-05,t,a,k,e,s,40.450506161251944
257,bring,57608074,17.86917328945383,4.0135240213641155e-05,b,r,i,n,g,38.00365052070355
258,input,57191675,17.861918903799726,4.011894642622785e-05,i,n,p,u,t,35.896039513127235
259,agent,57103658,17.860378735621573,4.011548711567116e-05,a,g,e,n,t,37.25726775419165
260,valid,57094711,17.86022204336587,4.011513517542074e-05,v,a,l,i,d,39.070000494708516
261,grand,56599468,17.851510143835952,4.0095567723995515e-05,g,r,a,n,d,38.58131619028816
262,trial,56547673,17.850594610254454,4.00935113803907e-05,t,r,i,a,l,39.329910144744225
263,units,56512308,17.849969013100793,4.009210625147777e-05,u,n,i,t,s,37.821305427422644
264,wrote,56421594,17.8483625155318,4.0088497961111466e-05,w,r,o,t,e,38.89695787582487
265,ships,56365355,17.847365254675655,4.008625805312195e-05,s,h,i,p,s,38.75689480284926
266,metal,56181783,17.844103116409805,4.0078931093962224e-05,m,e,t,a,l,39.836789748557095
267,funds,55721876,17.835883374650823,4.00604690585537e-05,f,u,n,d,s,39.222591428057406
268,guest,55293215,17.828160764570775,4.0043123610859046e-05,g,u,e,s,t,38.46676971177157
269,seems,55276661,17.827861334007544,4.004245107176684e-05,s,e,e,m,s,40.148466446734574
270,trust,55157142,17.825696796639136,4.0037589390377036e-05,t,r,u,s,t,37.86603144667757
271,multi,55131463,17.82523112748929,4.003654346939981e-05,m,u,l,t,i,39.19341245041733
272,grade,54275130,17.809576668935343,4.0001382611966746e-05,g,r,a,d,e,39.237034837699994
273,panel,53784382,17.800493685589796,3.9980981683925766e-05,p,a,n,e,l,40.843032688252656
274,floor,53759851,17.800037482597947,3.997995702450994e-05,f,l,o,o,r,38.210800178034006
275,match,53532481,17.795799149137867,3.997043747210702e-05,m,a,t,c,h,38.75213517339279
276,plant,53247607,17.790463422576888,3.9958453108657724e-05,p,l,a,n,t,38.73426404500198
277,sense,52629633,17.77878988409645,3.9932233637646607e-05,s,e,n,s,e,40.55837183815218
278,stage,52518330,17.77667280948281,3.992747856046467e-05,s,t,a,g,e,38.553549564259434
279,goods,52507183,17.7764605372506,3.992700178423712e-05,g,o,o,d,s,39.99268091406481
280,maybe,51895609,17.76474473954728,3.990068739646437e-05,m,a,y,b,e,38.20350277373928
281,spain,51553238,17.758125579257705,3.988582036350591e-05,s,p,a,i,n,38.992563453318276
282,youth,51426255,17.755659397678045,3.9880281171037026e-05,y,o,u,t,h,36.7584251696657
283,break,51242970,17.752088995842318,3.987226183331978e-05,b,r,e,a,k,38.521164898890255
284,dance,51147967,17.75023330372647,3.9868093836981864e-05,d,a,n,c,e,40.379146550330944
285,apple,50551171,17.738496668345434,3.9841732646529037e-05,a,p,p,l,e,37.599813947348366
286,enjoy,50141455,17.73035866902089,3.9823454209555026e-05,e,n,j,o,y,35.452201162467055
287,block,49694725,17.72140934861302,3.980335349652815e-05,b,l,o,c,k,37.391209478922846
288,civil,49495349,17.71738926352848,3.97943241431309e-05,c,i,v,i,l,38.51451866353667
289,steel,49452604,17.716525273898316,3.979238357034742e-05,s,t,e,e,l,39.016455875680855
290,songs,49272598,17.712878662985872,3.978419306245062e-05,s,o,n,g,s,40.44061383738594
291,fixed,49215402,17.71171718125348,3.978158430447518e-05,f,i,x,e,d,37.282944311437525
292,wrong,49156828,17.71052631657709,3.9778909550636574e-05,w,r,o,n,g,37.07695570035565
293,hands,49087727,17.709119602252922,3.977574998547942e-05,h,a,n,d,s,40.260820466908875
294,paris,48831449,17.70388510997807,3.9763993000338334e-05,p,a,r,i,s,41.51287328802376
295,fully,48616832,17.699480366358312,3.975409968068695e-05,f,u,l,l,y,38.54038992824633
296,worth,48075237,17.68827777922416,3.972893799478462e-05,w,o,r,t,h,38.526748796416555
297,peace,47856201,17.683711259943347,3.9718681317248016e-05,p,e,a,c,e,40.134193750755706
298,coast,47716394,17.68078558653825,3.971211007844485e-05,c,o,a,s,t,39.622850900132065
299,grant,47609624,17.67854548363899,3.970707867231829e-05,g,r,a,n,t,38.924150082815025
300,agree,47500911,17.676259447768324,3.97019440979695e-05,a,g,r,e,e,39.18358311459204
301,blogs,46978262,17.665195542044998,3.9677093898874454e-05,b,l,o,g,s,38.7752841536925
